{'tl': 'RSL', 'sn': False, 'k': 11, 'tllr': 0.0001, 'method': 'CDAN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_RSL_on_amazon_vs_webcam_with_False_11_0.0001_CDAN.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.03019, a_distance: 0.05556, rsl: 1.33328, classifier_loss: 4.00747,  discriminator_loss: 0.69989,
iter: 00299, precision: 0.75346, a_distance: 1.16667, rsl: 2.02279, classifier_loss: 0.41540,  discriminator_loss: 0.41572,
iter: 00599, precision: 0.80755, a_distance: 1.38889, rsl: 1.56163, classifier_loss: 0.21173,  discriminator_loss: 0.41662,
iter: 00899, precision: 0.82264, a_distance: 0.77778, rsl: 1.86080, classifier_loss: 0.33083,  discriminator_loss: 0.62816,
iter: 01199, precision: 0.84403, a_distance: 0.50000, rsl: 2.08958, classifier_loss: 0.45585,  discriminator_loss: 0.58695,
iter: 01499, precision: 0.85283, a_distance: 0.44444, rsl: 1.95971, classifier_loss: 0.04930,  discriminator_loss: 0.73172,
iter: 01799, precision: 0.89182, a_distance: 0.22222, rsl: 1.50244, classifier_loss: 0.29142,  discriminator_loss: 0.70198,
iter: 02099, precision: 0.89308, a_distance: 0.27778, rsl: 1.57216, classifier_loss: 0.17150,  discriminator_loss: 0.71541,
iter: 02399, precision: 0.90440, a_distance: 0.27778, rsl: 1.45548, classifier_loss: 0.07637,  discriminator_loss: 0.69118,
iter: 02699, precision: 0.91321, a_distance: 0.88889, rsl: 1.34168, classifier_loss: 0.10657,  discriminator_loss: 0.68158,
iter: 02999, precision: 0.91447, a_distance: 0.11111, rsl: 1.31962, classifier_loss: 0.11347,  discriminator_loss: 0.67529,
iter: 03299, precision: 0.92327, a_distance: 0.11111, rsl: 1.80263, classifier_loss: 0.01768,  discriminator_loss: 0.67102,
iter: 03599, precision: 0.92327, a_distance: 0.22222, rsl: 1.41291, classifier_loss: 0.05209,  discriminator_loss: 0.64829,
iter: 03899, precision: 0.92075, a_distance: 0.05556, rsl: 1.09140, classifier_loss: 0.00647,  discriminator_loss: 0.66586,
iter: 04199, precision: 0.92201, a_distance: 0.50000, rsl: 1.82400, classifier_loss: 0.11845,  discriminator_loss: 0.63110,
iter: 04499, precision: 0.91572, a_distance: 0.66667, rsl: 1.41482, classifier_loss: 0.01304,  discriminator_loss: 0.65272,
iter: 04799, precision: 0.91950, a_distance: 0.16667, rsl: 1.25701, classifier_loss: 0.13601,  discriminator_loss: 0.69719,
