{'tl': 'RSL', 'sn': True, 'k': 11, 'tllr': 0.0001, 'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_RSL_on_amazon_vs_webcam_with_True_11_0.0001_CDAN+E.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.07673, a_distance: 0.11111, rsl: 1.38045, classifier_loss: 3.55743,  discriminator_loss: 0.69309,
iter: 00299, precision: 0.73711, a_distance: 1.00000, rsl: 1.82469, classifier_loss: 0.70280,  discriminator_loss: 0.56031,
iter: 00599, precision: 0.77610, a_distance: 1.05556, rsl: 1.82369, classifier_loss: 0.18937,  discriminator_loss: 0.47650,
iter: 00899, precision: 0.84403, a_distance: 0.77778, rsl: 1.48801, classifier_loss: 0.60877,  discriminator_loss: 0.56817,
iter: 01199, precision: 0.87044, a_distance: 0.83333, rsl: 1.62488, classifier_loss: 0.25145,  discriminator_loss: 0.56933,
iter: 01499, precision: 0.88050, a_distance: 0.83333, rsl: 1.62178, classifier_loss: 0.09208,  discriminator_loss: 0.59396,
iter: 01799, precision: 0.90063, a_distance: 0.88889, rsl: 1.69622, classifier_loss: 0.10757,  discriminator_loss: 0.60940,
iter: 02099, precision: 0.90189, a_distance: 0.72222, rsl: 1.62643, classifier_loss: 0.11848,  discriminator_loss: 0.66941,
iter: 02399, precision: 0.90943, a_distance: 0.66667, rsl: 1.36325, classifier_loss: 0.25907,  discriminator_loss: 0.62703,
iter: 02699, precision: 0.92075, a_distance: 0.66667, rsl: 1.64342, classifier_loss: 0.00805,  discriminator_loss: 0.65418,
iter: 02999, precision: 0.92327, a_distance: 0.38889, rsl: 1.33821, classifier_loss: 0.07406,  discriminator_loss: 0.68330,
iter: 03299, precision: 0.91824, a_distance: 0.55556, rsl: 1.43448, classifier_loss: 0.01526,  discriminator_loss: 0.67937,
iter: 03599, precision: 0.92830, a_distance: 0.61111, rsl: 1.40329, classifier_loss: 0.22685,  discriminator_loss: 0.63803,
iter: 03899, precision: 0.92830, a_distance: 0.22222, rsl: 1.13184, classifier_loss: 0.08370,  discriminator_loss: 0.65363,
iter: 04199, precision: 0.93459, a_distance: 0.38889, rsl: 1.24065, classifier_loss: 0.16918,  discriminator_loss: 0.66873,
iter: 04499, precision: 0.93333, a_distance: 0.44444, rsl: 1.25050, classifier_loss: 0.03229,  discriminator_loss: 0.66737,
