{'tl': 'RSL', 'sn': True, 'k': 11, 'tllr': 0.0001, 'method': 'CDAN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_RSL_on_amazon_vs_webcam_with_True_11_0.0001_CDAN.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.01132, a_distance: 0.27778, rsl: 1.27206, classifier_loss: 3.78260,  discriminator_loss: 0.68997,
iter: 00299, precision: 0.75346, a_distance: 0.83333, rsl: 2.07501, classifier_loss: 0.54663,  discriminator_loss: 0.60515,
iter: 00599, precision: 0.77862, a_distance: 1.05556, rsl: 2.00613, classifier_loss: 0.47085,  discriminator_loss: 0.50477,
iter: 00899, precision: 0.82893, a_distance: 1.27778, rsl: 1.62673, classifier_loss: 0.18012,  discriminator_loss: 0.49893,
iter: 01199, precision: 0.84151, a_distance: 0.94444, rsl: 2.03321, classifier_loss: 0.26849,  discriminator_loss: 0.52976,
iter: 01499, precision: 0.85660, a_distance: 0.55556, rsl: 1.58501, classifier_loss: 0.08902,  discriminator_loss: 0.63845,
iter: 01799, precision: 0.87170, a_distance: 0.66667, rsl: 1.52588, classifier_loss: 0.06263,  discriminator_loss: 0.62623,
iter: 02099, precision: 0.90943, a_distance: 0.83333, rsl: 1.52005, classifier_loss: 0.01970,  discriminator_loss: 0.65737,
iter: 02399, precision: 0.92075, a_distance: 0.38889, rsl: 1.35056, classifier_loss: 0.05838,  discriminator_loss: 0.65550,
iter: 02699, precision: 0.91698, a_distance: 0.44444, rsl: 1.31943, classifier_loss: 0.15844,  discriminator_loss: 0.63167,
iter: 02999, precision: 0.91824, a_distance: 0.61111, rsl: 1.43456, classifier_loss: 0.13424,  discriminator_loss: 0.69782,
iter: 03299, precision: 0.91447, a_distance: 0.61111, rsl: 1.19408, classifier_loss: 0.06672,  discriminator_loss: 0.64373,
iter: 03599, precision: 0.91824, a_distance: 0.50000, rsl: 1.44835, classifier_loss: 0.01443,  discriminator_loss: 0.64623,
iter: 03899, precision: 0.91698, a_distance: 0.33333, rsl: 1.14834, classifier_loss: 0.14837,  discriminator_loss: 0.67075,
