{'tl': 'BSP', 'sn': False, 'k': 11, 'tllr': 0.0001, 'method': 'CDAN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_BSP_on_amazon_vs_webcam_with_False_11_0.0001_CDAN.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.05157, a_distance: 0.22222, rsl: 509.13251, classifier_loss: 3.60001,  discriminator_loss: 0.69279,
iter: 00299, precision: 0.76478, a_distance: 1.27778, rsl: 1131.33813, classifier_loss: 0.49510,  discriminator_loss: 0.40294,
iter: 00599, precision: 0.75472, a_distance: 1.11111, rsl: 1066.23267, classifier_loss: 0.25514,  discriminator_loss: 0.52087,
iter: 00899, precision: 0.78868, a_distance: 0.72222, rsl: 975.53149, classifier_loss: 0.21816,  discriminator_loss: 0.51886,
iter: 01199, precision: 0.82138, a_distance: 0.66667, rsl: 946.13025, classifier_loss: 0.60374,  discriminator_loss: 0.58387,
iter: 01499, precision: 0.85660, a_distance: 0.38889, rsl: 1027.64490, classifier_loss: 0.25528,  discriminator_loss: 0.59269,
iter: 01799, precision: 0.87044, a_distance: 0.50000, rsl: 892.52246, classifier_loss: 0.31392,  discriminator_loss: 0.68812,
iter: 02099, precision: 0.88302, a_distance: 0.00000, rsl: 937.46796, classifier_loss: 0.11258,  discriminator_loss: 0.70636,
iter: 02399, precision: 0.89811, a_distance: 0.50000, rsl: 845.63855, classifier_loss: 0.15327,  discriminator_loss: 0.62281,
iter: 02699, precision: 0.88805, a_distance: 0.77778, rsl: 828.93787, classifier_loss: 0.10768,  discriminator_loss: 0.63132,
iter: 02999, precision: 0.90063, a_distance: 0.44444, rsl: 891.29114, classifier_loss: 0.08299,  discriminator_loss: 0.65817,
iter: 03299, precision: 0.90566, a_distance: 0.88889, rsl: 756.61462, classifier_loss: 0.08195,  discriminator_loss: 0.63818,
iter: 03599, precision: 0.90692, a_distance: 0.44444, rsl: 734.84393, classifier_loss: 0.04314,  discriminator_loss: 0.63441,
iter: 03899, precision: 0.90818, a_distance: 0.55556, rsl: 813.65344, classifier_loss: 0.01676,  discriminator_loss: 0.65458,
