{'tl': 'no', 'sn': False, 'k': 11, 'tllr': 0.0001, 'method': 'CDAN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_no_on_amazon_vs_webcam_with_False_11_0.0001_CDAN.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.04277, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 3.73131,  discriminator_loss: 0.69840,
iter: 00299, precision: 0.73459, a_distance: 1.38889, rsl: 0.00000, classifier_loss: 0.63177,  discriminator_loss: 0.39811,
iter: 00599, precision: 0.81132, a_distance: 0.94444, rsl: 0.00000, classifier_loss: 0.48018,  discriminator_loss: 0.50156,
iter: 00899, precision: 0.79497, a_distance: 0.94444, rsl: 0.00000, classifier_loss: 0.19534,  discriminator_loss: 0.53732,
iter: 01199, precision: 0.81761, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.25303,  discriminator_loss: 0.72036,
iter: 01499, precision: 0.85283, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.13436,  discriminator_loss: 0.68911,
iter: 01799, precision: 0.86415, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.10073,  discriminator_loss: 0.67190,
iter: 02099, precision: 0.86289, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.23651,  discriminator_loss: 0.65554,
iter: 02399, precision: 0.87296, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.15429,  discriminator_loss: 0.63616,
iter: 02699, precision: 0.86792, a_distance: 0.77778, rsl: 0.00000, classifier_loss: 0.21425,  discriminator_loss: 0.60873,
iter: 02999, precision: 0.88050, a_distance: 0.77778, rsl: 0.00000, classifier_loss: 0.08776,  discriminator_loss: 0.63748,
iter: 03299, precision: 0.91069, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.15493,  discriminator_loss: 0.65469,
iter: 03599, precision: 0.89811, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.08952,  discriminator_loss: 0.63253,
iter: 03899, precision: 0.89308, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.04045,  discriminator_loss: 0.65941,
iter: 04199, precision: 0.91069, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.18383,  discriminator_loss: 0.66623,
iter: 04499, precision: 0.91069, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.32199,  discriminator_loss: 0.63333,
iter: 04799, precision: 0.91824, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.17265,  discriminator_loss: 0.67832,
iter: 05099, precision: 0.92201, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.04530,  discriminator_loss: 0.66320,
iter: 05399, precision: 0.91698, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.10477,  discriminator_loss: 0.63849,
iter: 05699, precision: 0.92704, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.03617,  discriminator_loss: 0.67053,
iter: 05999, precision: 0.92704, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.02312,  discriminator_loss: 0.65519,
iter: 06299, precision: 0.92956, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.09747,  discriminator_loss: 0.64952,
iter: 06599, precision: 0.92830, a_distance: 0.72222, rsl: 0.00000, classifier_loss: 0.02250,  discriminator_loss: 0.63192,
iter: 06899, precision: 0.93082, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.09658,  discriminator_loss: 0.69526,
iter: 07199, precision: 0.93082, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.08132,  discriminator_loss: 0.68830,
iter: 07499, precision: 0.92830, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.10778,  discriminator_loss: 0.67352,
iter: 07799, precision: 0.92830, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.11172,  discriminator_loss: 0.65787,
iter: 08099, precision: 0.93459, a_distance: 0.00000, rsl: 0.00000, classifier_loss: 0.05253,  discriminator_loss: 0.64604,
iter: 08399, precision: 0.92579, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.06441,  discriminator_loss: 0.67101,
iter: 08699, precision: 0.92704, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.07239,  discriminator_loss: 0.64025,
iter: 08999, precision: 0.93459, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.04216,  discriminator_loss: 0.69072,
iter: 09299, precision: 0.92956, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.02385,  discriminator_loss: 0.65034,
iter: 09599, precision: 0.93082, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.08862,  discriminator_loss: 0.72025,
iter: 09899, precision: 0.93208, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.03564,  discriminator_loss: 0.65835,
iter: 10199, precision: 0.93333, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.03056,  discriminator_loss: 0.65912,
iter: 10499, precision: 0.93082, a_distance: 0.72222, rsl: 0.00000, classifier_loss: 0.04772,  discriminator_loss: 0.64730,
iter: 10799, precision: 0.92579, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.02735,  discriminator_loss: 0.60471,
iter: 11099, precision: 0.92830, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.00295,  discriminator_loss: 0.62281,
iter: 11399, precision: 0.93082, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.13635,  discriminator_loss: 0.67676,
iter: 11699, precision: 0.93082, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.12387,  discriminator_loss: 0.66161,
iter: 11999, precision: 0.93208, a_distance: 0.61111, rsl: 0.00000, classifier_loss: 0.01842,  discriminator_loss: 0.63232,
iter: 12299, precision: 0.93585, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.00570,  discriminator_loss: 0.62000,
iter: 12599, precision: 0.93333, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.12105,  discriminator_loss: 0.70954,
iter: 12899, precision: 0.93082, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.05617,  discriminator_loss: 0.69408,
iter: 13199, precision: 0.93333, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.04021,  discriminator_loss: 0.69749,
iter: 13499, precision: 0.93082, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.01724,  discriminator_loss: 0.65646,
iter: 13799, precision: 0.93208, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.01461,  discriminator_loss: 0.67188,
iter: 14099, precision: 0.92704, a_distance: 0.77778, rsl: 0.00000, classifier_loss: 0.02409,  discriminator_loss: 0.62377,
iter: 14399, precision: 0.93585, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.18845,  discriminator_loss: 0.68822,
iter: 14699, precision: 0.93962, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.16344,  discriminator_loss: 0.66276,
iter: 14999, precision: 0.93082, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.05710,  discriminator_loss: 0.68417,
iter: 15299, precision: 0.93459, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.11667,  discriminator_loss: 0.63250,
iter: 15599, precision: 0.92704, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.37870,  discriminator_loss: 0.71124,
iter: 15899, precision: 0.92956, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.03521,  discriminator_loss: 0.64857,
iter: 16199, precision: 0.93836, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.17516,  discriminator_loss: 0.70754,
iter: 16499, precision: 0.93208, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.02329,  discriminator_loss: 0.67861,
iter: 16799, precision: 0.93208, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.04345,  discriminator_loss: 0.66445,
iter: 17099, precision: 0.93585, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.08766,  discriminator_loss: 0.64335,
iter: 17399, precision: 0.93082, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.22911,  discriminator_loss: 0.64180,
iter: 17699, precision: 0.93208, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.00319,  discriminator_loss: 0.65503,
iter: 17999, precision: 0.93333, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.03693,  discriminator_loss: 0.64224,
iter: 18299, precision: 0.93208, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.14634,  discriminator_loss: 0.69709,
iter: 18599, precision: 0.93459, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.14907,  discriminator_loss: 0.68353,
iter: 18899, precision: 0.93333, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.01105,  discriminator_loss: 0.65559,
