{'tl': 'no', 'sn': False, 'k': 11, 'tllr': 0.0001, 'method': 'DANN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 300, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san\\log_no_on_amazon_vs_webcam_with_False_11_0.0001_DANN.txt' mode='w' encoding='cp1252'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/webcam.txt', 'batch_size': 36}, 'test': {'list_path': 'data/webcam.txt', 'batch_size': 4}}, 'num_loader': 1}iter: 00001, precision: 0.03522, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 4.00992,  discriminator_loss: 0.74127,
iter: 00299, precision: 0.69811, a_distance: 1.00000, rsl: 0.00000, classifier_loss: 0.68340,  discriminator_loss: 0.65139,
iter: 00599, precision: 0.76981, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.43514,  discriminator_loss: 0.63846,
iter: 00899, precision: 0.78994, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.38750,  discriminator_loss: 0.72674,
iter: 01199, precision: 0.78491, a_distance: 0.61111, rsl: 0.00000, classifier_loss: 0.17599,  discriminator_loss: 0.68040,
iter: 01499, precision: 0.81006, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.32588,  discriminator_loss: 0.66953,
iter: 01799, precision: 0.82138, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.09741,  discriminator_loss: 0.67617,
iter: 02099, precision: 0.80503, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.03902,  discriminator_loss: 0.70944,
iter: 02399, precision: 0.80755, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.13923,  discriminator_loss: 0.68199,
iter: 02699, precision: 0.79119, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.09608,  discriminator_loss: 0.65987,
iter: 02999, precision: 0.81384, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.12727,  discriminator_loss: 0.67068,
iter: 03299, precision: 0.80881, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.04939,  discriminator_loss: 0.66874,
iter: 03599, precision: 0.81635, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.02285,  discriminator_loss: 0.67555,
iter: 03899, precision: 0.81384, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.13573,  discriminator_loss: 0.68788,
iter: 04199, precision: 0.80252, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.01791,  discriminator_loss: 0.69511,
iter: 04499, precision: 0.81006, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.06873,  discriminator_loss: 0.68766,
iter: 04799, precision: 0.80377, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.14271,  discriminator_loss: 0.70002,
iter: 05099, precision: 0.80252, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.06565,  discriminator_loss: 0.68255,
iter: 05399, precision: 0.78994, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.02390,  discriminator_loss: 0.66103,
iter: 05699, precision: 0.79874, a_distance: 0.61111, rsl: 0.00000, classifier_loss: 0.21095,  discriminator_loss: 0.68224,
iter: 05999, precision: 0.81761, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.00982,  discriminator_loss: 0.68918,
iter: 06299, precision: 0.80881, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.25703,  discriminator_loss: 0.69194,
iter: 06599, precision: 0.80755, a_distance: 0.44444, rsl: 0.00000, classifier_loss: 0.14832,  discriminator_loss: 0.66716,
iter: 06899, precision: 0.81006, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.06592,  discriminator_loss: 0.71388,
iter: 07199, precision: 0.81635, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.09389,  discriminator_loss: 0.69417,
iter: 07499, precision: 0.80000, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.01701,  discriminator_loss: 0.69515,
iter: 07799, precision: 0.80000, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.00423,  discriminator_loss: 0.69245,
iter: 08099, precision: 0.80755, a_distance: 0.05556, rsl: 0.00000, classifier_loss: 0.25544,  discriminator_loss: 0.69352,
iter: 08399, precision: 0.79748, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.07811,  discriminator_loss: 0.69417,
iter: 08699, precision: 0.80000, a_distance: 0.83333, rsl: 0.00000, classifier_loss: 0.02470,  discriminator_loss: 0.68054,
iter: 08999, precision: 0.80629, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.01599,  discriminator_loss: 0.69976,
iter: 09299, precision: 0.81635, a_distance: 0.50000, rsl: 0.00000, classifier_loss: 0.02349,  discriminator_loss: 0.69723,
iter: 09599, precision: 0.81006, a_distance: 0.55556, rsl: 0.00000, classifier_loss: 0.07396,  discriminator_loss: 0.69465,
iter: 09899, precision: 0.80252, a_distance: 0.38889, rsl: 0.00000, classifier_loss: 0.34135,  discriminator_loss: 0.70199,
iter: 10199, precision: 0.80377, a_distance: 0.33333, rsl: 0.00000, classifier_loss: 0.13921,  discriminator_loss: 0.69910,
iter: 10499, precision: 0.80252, a_distance: 0.00000, rsl: 0.00000, classifier_loss: 0.06811,  discriminator_loss: 0.69278,
iter: 10799, precision: 0.80377, a_distance: 0.16667, rsl: 0.00000, classifier_loss: 0.12423,  discriminator_loss: 0.71142,
iter: 11099, precision: 0.80377, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.01463,  discriminator_loss: 0.67493,
iter: 11399, precision: 0.80126, a_distance: 0.83333, rsl: 0.00000, classifier_loss: 0.00659,  discriminator_loss: 0.67818,
iter: 11699, precision: 0.80252, a_distance: 0.11111, rsl: 0.00000, classifier_loss: 0.02209,  discriminator_loss: 0.69608,
iter: 11999, precision: 0.80755, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.06377,  discriminator_loss: 0.68091,
iter: 12299, precision: 0.80000, a_distance: 0.22222, rsl: 0.00000, classifier_loss: 0.15548,  discriminator_loss: 0.68861,
iter: 12599, precision: 0.81006, a_distance: 0.00000, rsl: 0.00000, classifier_loss: 0.02045,  discriminator_loss: 0.68229,
iter: 12899, precision: 0.81635, a_distance: 0.27778, rsl: 0.00000, classifier_loss: 0.13264,  discriminator_loss: 0.68733,
