{'tl': 'RSL', 'sn': True, 'k': 11, 'tllr': 0.001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_visda_vs_visda_with_True_11_0.001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet101', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 12}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'visda', 'data': {'source': {'list_path': 'data/visda/train.txt', 'batch_size': 36}, 'target': {'list_path': 'data/visda/validation.txt', 'batch_size': 36}, 'test': {'list_path': 'data/visda/validation.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.07021, a_distance: 0.11111, rsl: 1.40705, classifier_loss: 2.90629,  discriminator_loss: 0.69556,
iter: 00499, precision: 0.61708, a_distance: 1.16667, rsl: 0.88919, classifier_loss: 0.32778,  discriminator_loss: 0.49099,
iter: 00999, precision: 0.65857, a_distance: 0.55556, rsl: 0.59325, classifier_loss: 0.31087,  discriminator_loss: 0.71532,
iter: 01499, precision: 0.67813, a_distance: 0.88889, rsl: 0.73150, classifier_loss: 0.16970,  discriminator_loss: 0.61500,
iter: 01999, precision: 0.68872, a_distance: 0.94444, rsl: 0.66963, classifier_loss: 0.14291,  discriminator_loss: 0.65372,
iter: 02499, precision: 0.70878, a_distance: 0.88889, rsl: 0.53521, classifier_loss: 0.14740,  discriminator_loss: 0.68320,
iter: 02999, precision: 0.71192, a_distance: 0.77778, rsl: 0.55107, classifier_loss: 0.04697,  discriminator_loss: 0.64862,
iter: 03499, precision: 0.71976, a_distance: 0.77778, rsl: 0.47560, classifier_loss: 0.42462,  discriminator_loss: 0.64668,
iter: 03999, precision: 0.72481, a_distance: 0.11111, rsl: 0.53293, classifier_loss: 0.06629,  discriminator_loss: 0.67918,
iter: 04499, precision: 0.71703, a_distance: 0.77778, rsl: 0.50025, classifier_loss: 0.15054,  discriminator_loss: 0.66457,
iter: 04999, precision: 0.72572, a_distance: 0.83333, rsl: 0.48990, classifier_loss: 0.04837,  discriminator_loss: 0.64347,
iter: 05499, precision: 0.72989, a_distance: 0.44444, rsl: 0.40093, classifier_loss: 0.08122,  discriminator_loss: 0.68888,
iter: 05999, precision: 0.74141, a_distance: 0.44444, rsl: 0.50746, classifier_loss: 0.06599,  discriminator_loss: 0.65723,
iter: 06499, precision: 0.72620, a_distance: 0.16667, rsl: 0.45203, classifier_loss: 0.04160,  discriminator_loss: 0.68298,
iter: 06999, precision: 0.73787, a_distance: 0.11111, rsl: 0.58176, classifier_loss: 0.30553,  discriminator_loss: 0.67152,
iter: 07499, precision: 0.73608, a_distance: 0.05556, rsl: 0.38511, classifier_loss: 0.03893,  discriminator_loss: 0.68067,
iter: 07999, precision: 0.73884, a_distance: 0.61111, rsl: 0.46784, classifier_loss: 0.00253,  discriminator_loss: 0.65534,
iter: 08499, precision: 0.73027, a_distance: 0.27778, rsl: 0.37021, classifier_loss: 0.11644,  discriminator_loss: 0.64569,
iter: 08999, precision: 0.73577, a_distance: 0.44444, rsl: 0.41557, classifier_loss: 0.10901,  discriminator_loss: 0.67140,
iter: 09499, precision: 0.74058, a_distance: 0.27778, rsl: 0.52407, classifier_loss: 0.14022,  discriminator_loss: 0.67996,
iter: 09999, precision: 0.73778, a_distance: 0.55556, rsl: 0.33864, classifier_loss: 0.08697,  discriminator_loss: 0.66594,
iter: 10499, precision: 0.74009, a_distance: 0.66667, rsl: 0.43537, classifier_loss: 0.01078,  discriminator_loss: 0.62643,
iter: 10999, precision: 0.73108, a_distance: 0.33333, rsl: 0.40411, classifier_loss: 0.04856,  discriminator_loss: 0.65370,
iter: 11499, precision: 0.73231, a_distance: 0.55556, rsl: 0.35649, classifier_loss: 0.04338,  discriminator_loss: 0.66655,
iter: 11999, precision: 0.74068, a_distance: 0.33333, rsl: 0.32906, classifier_loss: 0.02754,  discriminator_loss: 0.68090,
iter: 12499, precision: 0.73669, a_distance: 0.05556, rsl: 0.42146, classifier_loss: 0.09048,  discriminator_loss: 0.67163,
iter: 12999, precision: 0.72855, a_distance: 0.05556, rsl: 0.37315, classifier_loss: 0.15347,  discriminator_loss: 0.69708,
iter: 13499, precision: 0.72895, a_distance: 0.16667, rsl: 0.39219, classifier_loss: 0.12592,  discriminator_loss: 0.67339,
iter: 13999, precision: 0.73417, a_distance: 0.61111, rsl: 0.35048, classifier_loss: 0.07848,  discriminator_loss: 0.64360,
iter: 14499, precision: 0.73048, a_distance: 0.11111, rsl: 0.36729, classifier_loss: 0.14263,  discriminator_loss: 0.69069,
iter: 14999, precision: 0.73855, a_distance: 0.27778, rsl: 0.35489, classifier_loss: 0.00715,  discriminator_loss: 0.68007,
iter: 15499, precision: 0.73498, a_distance: 0.27778, rsl: 0.33661, classifier_loss: 0.00667,  discriminator_loss: 0.65265,
iter: 15999, precision: 0.73316, a_distance: 0.22222, rsl: 0.32758, classifier_loss: 0.23765,  discriminator_loss: 0.68921,
