{'tl': 'RSL', 'sn': True, 'k': 10, 'tllr': 0.0001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_image-clef_vs_image-clef_with_True_10_0.0001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 12}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'image-clef', 'data': {'source': {'list_path': 'data/image-clef/p_list.txt', 'batch_size': 36}, 'target': {'list_path': 'data/image-clef/c_list.txt', 'batch_size': 36}, 'test': {'list_path': 'data/image-clef/c_list.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.11167, a_distance: 0.05556, rsl: 1.59477, classifier_loss: 2.97373,  discriminator_loss: 0.69231,
iter: 00499, precision: 0.89667, a_distance: 1.38889, rsl: 1.38458, classifier_loss: 0.08739,  discriminator_loss: 0.53145,
iter: 00999, precision: 0.91833, a_distance: 0.50000, rsl: 1.34981, classifier_loss: 0.04101,  discriminator_loss: 0.64143,
iter: 01499, precision: 0.93167, a_distance: 0.72222, rsl: 0.93515, classifier_loss: 0.10049,  discriminator_loss: 0.66941,
iter: 01999, precision: 0.93667, a_distance: 0.22222, rsl: 1.07383, classifier_loss: 0.05348,  discriminator_loss: 0.68531,
iter: 02499, precision: 0.93500, a_distance: 0.33333, rsl: 0.85026, classifier_loss: 0.04309,  discriminator_loss: 0.68133,
iter: 02999, precision: 0.93333, a_distance: 0.38889, rsl: 0.92211, classifier_loss: 0.04965,  discriminator_loss: 0.67705,
iter: 03499, precision: 0.93667, a_distance: 0.11111, rsl: 0.75345, classifier_loss: 0.10027,  discriminator_loss: 0.67616,
iter: 03999, precision: 0.94167, a_distance: 0.11111, rsl: 0.62110, classifier_loss: 0.04761,  discriminator_loss: 0.70519,
iter: 04499, precision: 0.94167, a_distance: 0.44444, rsl: 0.64467, classifier_loss: 0.05789,  discriminator_loss: 0.69712,
iter: 04999, precision: 0.94167, a_distance: 0.83333, rsl: 0.73037, classifier_loss: 0.00275,  discriminator_loss: 0.68933,
iter: 05499, precision: 0.94167, a_distance: 0.33333, rsl: 0.57197, classifier_loss: 0.03765,  discriminator_loss: 0.68873,
iter: 05999, precision: 0.94167, a_distance: 0.05556, rsl: 0.52764, classifier_loss: 0.05455,  discriminator_loss: 0.69534,
iter: 06499, precision: 0.94167, a_distance: 0.05556, rsl: 0.61096, classifier_loss: 0.01911,  discriminator_loss: 0.67454,
iter: 06999, precision: 0.94167, a_distance: 0.55556, rsl: 0.52448, classifier_loss: 0.11240,  discriminator_loss: 0.68569,
iter: 07499, precision: 0.94167, a_distance: 0.05556, rsl: 0.62135, classifier_loss: 0.17885,  discriminator_loss: 0.71382,
iter: 07999, precision: 0.94167, a_distance: 0.05556, rsl: 0.51905, classifier_loss: 0.00598,  discriminator_loss: 0.70818,
iter: 08499, precision: 0.94167, a_distance: 0.11111, rsl: 0.50453, classifier_loss: 0.07725,  discriminator_loss: 0.69230,
iter: 08999, precision: 0.94167, a_distance: 0.38889, rsl: 0.53944, classifier_loss: 0.00276,  discriminator_loss: 0.68420,
iter: 09499, precision: 0.94167, a_distance: 0.50000, rsl: 0.42420, classifier_loss: 0.04059,  discriminator_loss: 0.68106,
iter: 09999, precision: 0.94167, a_distance: 0.27778, rsl: 0.60585, classifier_loss: 0.08443,  discriminator_loss: 0.69447,
iter: 10499, precision: 0.94167, a_distance: 0.33333, rsl: 0.54513, classifier_loss: 0.03029,  discriminator_loss: 0.69638,
iter: 10999, precision: 0.94167, a_distance: 0.27778, rsl: 0.46666, classifier_loss: 0.09509,  discriminator_loss: 0.69828,
iter: 11499, precision: 0.94167, a_distance: 0.11111, rsl: 0.52850, classifier_loss: 0.01145,  discriminator_loss: 0.69781,
iter: 11999, precision: 0.94167, a_distance: 0.33333, rsl: 0.47807, classifier_loss: 0.02526,  discriminator_loss: 0.71055,
iter: 12499, precision: 0.94167, a_distance: 0.05556, rsl: 0.44558, classifier_loss: 0.01193,  discriminator_loss: 0.70411,
iter: 12999, precision: 0.94167, a_distance: 0.05556, rsl: 0.40225, classifier_loss: 0.00109,  discriminator_loss: 0.69520,
