{'tl': 'RSL', 'sn': True, 'k': 11, 'tllr': 1e-05, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_image-clef_vs_image-clef_with_True_11_1e-05_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 12}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'image-clef', 'data': {'source': {'list_path': 'data/image-clef/p_list.txt', 'batch_size': 36}, 'target': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 36}, 'test': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.16500, a_distance: 0.16667, rsl: 1.52161, classifier_loss: 2.92804,  discriminator_loss: 0.70031,
iter: 00499, precision: 0.87167, a_distance: 1.00000, rsl: 1.40174, classifier_loss: 0.34625,  discriminator_loss: 0.61970,
iter: 00999, precision: 0.91167, a_distance: 0.27778, rsl: 1.23698, classifier_loss: 0.06273,  discriminator_loss: 0.64869,
iter: 01499, precision: 0.91500, a_distance: 0.44444, rsl: 1.15386, classifier_loss: 0.30718,  discriminator_loss: 0.66575,
iter: 01999, precision: 0.91500, a_distance: 0.11111, rsl: 1.06069, classifier_loss: 0.18836,  discriminator_loss: 0.71003,
iter: 02499, precision: 0.92667, a_distance: 0.00000, rsl: 0.92265, classifier_loss: 0.02099,  discriminator_loss: 0.67823,
iter: 02999, precision: 0.91833, a_distance: 0.22222, rsl: 1.01044, classifier_loss: 0.06960,  discriminator_loss: 0.66912,
iter: 03499, precision: 0.92000, a_distance: 0.33333, rsl: 1.00401, classifier_loss: 0.07435,  discriminator_loss: 0.68516,
iter: 03999, precision: 0.91667, a_distance: 0.38889, rsl: 0.90792, classifier_loss: 0.00608,  discriminator_loss: 0.69025,
iter: 04499, precision: 0.92000, a_distance: 0.50000, rsl: 0.84240, classifier_loss: 0.06585,  discriminator_loss: 0.68319,
iter: 04999, precision: 0.91500, a_distance: 0.38889, rsl: 0.79238, classifier_loss: 0.00033,  discriminator_loss: 0.69198,
iter: 05499, precision: 0.91500, a_distance: 0.16667, rsl: 0.73787, classifier_loss: 0.02748,  discriminator_loss: 0.68786,
iter: 05999, precision: 0.91500, a_distance: 0.27778, rsl: 0.68681, classifier_loss: 0.02592,  discriminator_loss: 0.70602,
iter: 06499, precision: 0.91833, a_distance: 0.38889, rsl: 0.68908, classifier_loss: 0.00828,  discriminator_loss: 0.67994,
iter: 06999, precision: 0.91667, a_distance: 0.05556, rsl: 0.64396, classifier_loss: 0.07266,  discriminator_loss: 0.68412,
iter: 07499, precision: 0.92000, a_distance: 0.05556, rsl: 0.60402, classifier_loss: 0.07701,  discriminator_loss: 0.69851,
iter: 07999, precision: 0.91833, a_distance: 0.11111, rsl: 0.62386, classifier_loss: 0.01426,  discriminator_loss: 0.69910,
iter: 08499, precision: 0.91833, a_distance: 0.05556, rsl: 0.71094, classifier_loss: 0.00184,  discriminator_loss: 0.67623,
iter: 08999, precision: 0.91833, a_distance: 0.05556, rsl: 0.60094, classifier_loss: 0.05682,  discriminator_loss: 0.68714,
iter: 09499, precision: 0.91833, a_distance: 0.00000, rsl: 0.57471, classifier_loss: 0.05253,  discriminator_loss: 0.68353,
iter: 09999, precision: 0.91833, a_distance: 0.33333, rsl: 0.48512, classifier_loss: 0.08229,  discriminator_loss: 0.67587,
iter: 10499, precision: 0.91833, a_distance: 0.33333, rsl: 0.54826, classifier_loss: 0.00086,  discriminator_loss: 0.66977,
iter: 10999, precision: 0.91833, a_distance: 0.38889, rsl: 0.53394, classifier_loss: 0.00060,  discriminator_loss: 0.67494,
iter: 11499, precision: 0.91833, a_distance: 0.11111, rsl: 0.53000, classifier_loss: 0.03082,  discriminator_loss: 0.68849,
iter: 11999, precision: 0.91833, a_distance: 0.11111, rsl: 0.55511, classifier_loss: 0.07018,  discriminator_loss: 0.68602,
iter: 12499, precision: 0.91833, a_distance: 0.22222, rsl: 0.54918, classifier_loss: 0.04740,  discriminator_loss: 0.67577,
iter: 12999, precision: 0.91833, a_distance: 0.27778, rsl: 0.52333, classifier_loss: 0.00206,  discriminator_loss: 0.69431,
iter: 13499, precision: 0.91833, a_distance: 0.16667, rsl: 0.41779, classifier_loss: 0.00439,  discriminator_loss: 0.70214,
iter: 13999, precision: 0.91833, a_distance: 0.27778, rsl: 0.42053, classifier_loss: 0.00023,  discriminator_loss: 0.69104,
iter: 14499, precision: 0.91833, a_distance: 0.22222, rsl: 0.55788, classifier_loss: 0.03133,  discriminator_loss: 0.68730,
iter: 14999, precision: 0.91833, a_distance: 0.33333, rsl: 0.48833, classifier_loss: 0.03424,  discriminator_loss: 0.69113,
iter: 15499, precision: 0.91833, a_distance: 0.27778, rsl: 0.39838, classifier_loss: 0.07943,  discriminator_loss: 0.68693,
iter: 15999, precision: 0.91833, a_distance: 0.22222, rsl: 0.37457, classifier_loss: 0.03869,  discriminator_loss: 0.67846,
iter: 16499, precision: 0.91833, a_distance: 0.44444, rsl: 0.41559, classifier_loss: 0.03315,  discriminator_loss: 0.68650,
iter: 16999, precision: 0.91833, a_distance: 0.61111, rsl: 0.37499, classifier_loss: 0.09765,  discriminator_loss: 0.68526,
iter: 17499, precision: 0.91833, a_distance: 0.50000, rsl: 0.46604, classifier_loss: 0.00026,  discriminator_loss: 0.69698,
iter: 17999, precision: 0.91833, a_distance: 0.44444, rsl: 0.40383, classifier_loss: 0.08711,  discriminator_loss: 0.69417,
iter: 18499, precision: 0.91833, a_distance: 0.16667, rsl: 0.41141, classifier_loss: 0.02832,  discriminator_loss: 0.69713,
iter: 18999, precision: 0.91833, a_distance: 0.27778, rsl: 0.39166, classifier_loss: 0.00223,  discriminator_loss: 0.68212,
iter: 19499, precision: 0.91833, a_distance: 0.44444, rsl: 0.42463, classifier_loss: 0.09814,  discriminator_loss: 0.67814,
iter: 19999, precision: 0.91833, a_distance: 0.05556, rsl: 0.41042, classifier_loss: 0.00973,  discriminator_loss: 0.70754,
iter: 20499, precision: 0.91833, a_distance: 0.22222, rsl: 0.36742, classifier_loss: 0.00009,  discriminator_loss: 0.68906,
iter: 20999, precision: 0.91833, a_distance: 0.38889, rsl: 0.38923, classifier_loss: 0.00035,  discriminator_loss: 0.68117,
iter: 21499, precision: 0.91833, a_distance: 0.22222, rsl: 0.38662, classifier_loss: 0.08788,  discriminator_loss: 0.69063,
iter: 21999, precision: 0.91833, a_distance: 0.50000, rsl: 0.39998, classifier_loss: 0.02345,  discriminator_loss: 0.67813,
iter: 22499, precision: 0.91833, a_distance: 0.61111, rsl: 0.37115, classifier_loss: 0.00159,  discriminator_loss: 0.68693,
iter: 22999, precision: 0.91833, a_distance: 0.16667, rsl: 0.40434, classifier_loss: 0.01519,  discriminator_loss: 0.69028,
iter: 23499, precision: 0.91833, a_distance: 0.05556, rsl: 0.35223, classifier_loss: 0.00035,  discriminator_loss: 0.68092,
iter: 23999, precision: 0.91833, a_distance: 0.27778, rsl: 0.29332, classifier_loss: 0.01804,  discriminator_loss: 0.69595,
iter: 24499, precision: 0.91833, a_distance: 0.38889, rsl: 0.37471, classifier_loss: 0.00021,  discriminator_loss: 0.67988,
iter: 24999, precision: 0.91833, a_distance: 0.22222, rsl: 0.33047, classifier_loss: 0.14767,  discriminator_loss: 0.68802,
iter: 25499, precision: 0.91833, a_distance: 0.11111, rsl: 0.27124, classifier_loss: 0.05428,  discriminator_loss: 0.68443,
iter: 25999, precision: 0.91833, a_distance: 0.22222, rsl: 0.32521, classifier_loss: 0.00342,  discriminator_loss: 0.67377,
iter: 26499, precision: 0.91833, a_distance: 0.22222, rsl: 0.29382, classifier_loss: 0.00481,  discriminator_loss: 0.68114,
iter: 26999, precision: 0.91833, a_distance: 0.22222, rsl: 0.31438, classifier_loss: 0.02805,  discriminator_loss: 0.70827,
iter: 27499, precision: 0.91833, a_distance: 0.16667, rsl: 0.36857, classifier_loss: 0.01893,  discriminator_loss: 0.68552,
iter: 27999, precision: 0.91833, a_distance: 0.38889, rsl: 0.35476, classifier_loss: 0.08140,  discriminator_loss: 0.69189,
iter: 28499, precision: 0.91833, a_distance: 0.11111, rsl: 0.28600, classifier_loss: 0.05602,  discriminator_loss: 0.68342,
iter: 28999, precision: 0.91833, a_distance: 0.00000, rsl: 0.33455, classifier_loss: 0.01658,  discriminator_loss: 0.68553,
iter: 29499, precision: 0.91833, a_distance: 0.16667, rsl: 0.30342, classifier_loss: 0.04224,  discriminator_loss: 0.69184,
iter: 29999, precision: 0.91833, a_distance: 0.50000, rsl: 0.31222, classifier_loss: 0.04299,  discriminator_loss: 0.69578,
iter: 30499, precision: 0.91833, a_distance: 0.00000, rsl: 0.28992, classifier_loss: 0.02924,  discriminator_loss: 0.68178,
iter: 30999, precision: 0.91833, a_distance: 0.55556, rsl: 0.36531, classifier_loss: 0.03083,  discriminator_loss: 0.67081,
iter: 31499, precision: 0.91833, a_distance: 0.11111, rsl: 0.33262, classifier_loss: 0.04035,  discriminator_loss: 0.69113,
iter: 31999, precision: 0.91833, a_distance: 0.11111, rsl: 0.29021, classifier_loss: 0.14442,  discriminator_loss: 0.68131,
iter: 32499, precision: 0.91833, a_distance: 0.27778, rsl: 0.29473, classifier_loss: 0.02658,  discriminator_loss: 0.68211,
iter: 32999, precision: 0.91833, a_distance: 0.16667, rsl: 0.33129, classifier_loss: 0.03783,  discriminator_loss: 0.68678,
iter: 33499, precision: 0.91833, a_distance: 0.50000, rsl: 0.29966, classifier_loss: 0.00695,  discriminator_loss: 0.69055,
