{'tl': 'RSL', 'sn': True, 'k': 7, 'tllr': 0.001, 'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_image-clef_vs_image-clef_with_True_7_0.001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 12}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'image-clef', 'data': {'source': {'list_path': 'data/image-clef/p_list.txt', 'batch_size': 36}, 'target': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 36}, 'test': {'list_path': 'data/image-clef/i_list.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.11667, a_distance: 0.22222, rsl: 1.09437, classifier_loss: 3.30269,  discriminator_loss: 0.69165,
iter: 00499, precision: 0.84833, a_distance: 0.72222, rsl: 0.92818, classifier_loss: 0.35519,  discriminator_loss: 0.58445,
iter: 00999, precision: 0.89500, a_distance: 0.55556, rsl: 0.82096, classifier_loss: 0.18607,  discriminator_loss: 0.67252,
iter: 01499, precision: 0.92333, a_distance: 0.33333, rsl: 0.63608, classifier_loss: 0.15856,  discriminator_loss: 0.70112,
iter: 01999, precision: 0.90667, a_distance: 0.33333, rsl: 0.51257, classifier_loss: 0.48087,  discriminator_loss: 0.68914,
iter: 02499, precision: 0.91333, a_distance: 0.16667, rsl: 0.64049, classifier_loss: 0.05563,  discriminator_loss: 0.70716,
iter: 02999, precision: 0.91000, a_distance: 0.22222, rsl: 0.62210, classifier_loss: 0.02465,  discriminator_loss: 0.67767,
iter: 03499, precision: 0.91333, a_distance: 0.00000, rsl: 0.57111, classifier_loss: 0.00258,  discriminator_loss: 0.68201,
iter: 03999, precision: 0.91500, a_distance: 0.22222, rsl: 0.51633, classifier_loss: 0.02228,  discriminator_loss: 0.67105,
iter: 04499, precision: 0.91333, a_distance: 0.22222, rsl: 0.49374, classifier_loss: 0.08069,  discriminator_loss: 0.67737,
iter: 04999, precision: 0.91667, a_distance: 0.27778, rsl: 0.47593, classifier_loss: 0.03684,  discriminator_loss: 0.69316,
iter: 05499, precision: 0.91500, a_distance: 0.50000, rsl: 0.52317, classifier_loss: 0.20259,  discriminator_loss: 0.67309,
iter: 05999, precision: 0.91500, a_distance: 0.05556, rsl: 0.50535, classifier_loss: 0.00196,  discriminator_loss: 0.68282,
