{'tl': 'RSL', 'sn': True, 'k': 12, 'tllr': 1e-05, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office-home_vs_office-home_with_True_12_1e-05_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': 'data/office-home/Art.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office-home/Clipart.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office-home/Clipart.txt', 'batch_size': 4}}, 'num_loader': 8}iter: 00001, precision: 0.01375, a_distance: 0.05556, rsl: 2.25569, classifier_loss: 4.84511,  discriminator_loss: 0.69241,
iter: 00499, precision: 0.44261, a_distance: 1.16667, rsl: 4.11356, classifier_loss: 0.32732,  discriminator_loss: 0.52616,
iter: 00999, precision: 0.47537, a_distance: 1.00000, rsl: 4.46270, classifier_loss: 0.12300,  discriminator_loss: 0.50993,
iter: 01499, precision: 0.50447, a_distance: 1.55556, rsl: 4.50410, classifier_loss: 0.04789,  discriminator_loss: 0.45283,
iter: 01999, precision: 0.51890, a_distance: 0.94444, rsl: 4.63390, classifier_loss: 0.04895,  discriminator_loss: 0.55961,
iter: 02499, precision: 0.51409, a_distance: 0.55556, rsl: 4.23177, classifier_loss: 0.17083,  discriminator_loss: 0.63052,
iter: 02999, precision: 0.52302, a_distance: 1.16667, rsl: 3.95037, classifier_loss: 0.16833,  discriminator_loss: 0.53956,
iter: 03499, precision: 0.52211, a_distance: 0.83333, rsl: 4.07065, classifier_loss: 0.18437,  discriminator_loss: 0.56256,
iter: 03999, precision: 0.52532, a_distance: 0.83333, rsl: 4.76473, classifier_loss: 0.30559,  discriminator_loss: 0.59407,
iter: 04499, precision: 0.52967, a_distance: 0.83333, rsl: 3.82203, classifier_loss: 0.12249,  discriminator_loss: 0.61072,
iter: 04999, precision: 0.51982, a_distance: 0.77778, rsl: 3.87265, classifier_loss: 0.08280,  discriminator_loss: 0.61724,
iter: 05499, precision: 0.51982, a_distance: 0.83333, rsl: 3.55517, classifier_loss: 0.05363,  discriminator_loss: 0.61650,
iter: 05999, precision: 0.52371, a_distance: 1.11111, rsl: 4.33894, classifier_loss: 0.07760,  discriminator_loss: 0.56271,
iter: 06499, precision: 0.52577, a_distance: 0.72222, rsl: 4.51484, classifier_loss: 0.07382,  discriminator_loss: 0.63752,
iter: 06999, precision: 0.52646, a_distance: 0.77778, rsl: 3.03085, classifier_loss: 0.01413,  discriminator_loss: 0.64219,
iter: 07499, precision: 0.52715, a_distance: 1.00000, rsl: 4.19715, classifier_loss: 0.03245,  discriminator_loss: 0.59392,
iter: 07999, precision: 0.52234, a_distance: 0.88889, rsl: 4.01836, classifier_loss: 0.03502,  discriminator_loss: 0.59704,
iter: 08499, precision: 0.52921, a_distance: 0.88889, rsl: 3.44743, classifier_loss: 0.05351,  discriminator_loss: 0.63891,
iter: 08999, precision: 0.52944, a_distance: 0.83333, rsl: 3.40255, classifier_loss: 0.20550,  discriminator_loss: 0.60635,
iter: 09499, precision: 0.53127, a_distance: 0.55556, rsl: 3.31832, classifier_loss: 0.19326,  discriminator_loss: 0.64970,
iter: 09999, precision: 0.52623, a_distance: 0.83333, rsl: 3.51989, classifier_loss: 0.14693,  discriminator_loss: 0.64649,
iter: 10499, precision: 0.53288, a_distance: 1.00000, rsl: 3.73044, classifier_loss: 0.03472,  discriminator_loss: 0.60557,
iter: 10999, precision: 0.53196, a_distance: 0.44444, rsl: 3.85119, classifier_loss: 0.03347,  discriminator_loss: 0.61705,
iter: 11499, precision: 0.52875, a_distance: 0.83333, rsl: 3.77077, classifier_loss: 0.05898,  discriminator_loss: 0.60240,
