{'tl': 'RSL', 'sn': True, 'k': 5, 'tllr': 0.0001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office-home_vs_office-home_with_True_5_0.0001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': 'data/office-home/Art.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office-home/Clipart.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office-home/Clipart.txt', 'batch_size': 4}}, 'num_loader': 8}iter: 00001, precision: 0.02245, a_distance: 0.33333, rsl: 0.96712, classifier_loss: 4.59229,  discriminator_loss: 0.69469,
iter: 00499, precision: 0.46163, a_distance: 1.11111, rsl: 1.17475, classifier_loss: 0.56557,  discriminator_loss: 0.51640,
iter: 00999, precision: 0.47698, a_distance: 1.16667, rsl: 1.58707, classifier_loss: 0.17270,  discriminator_loss: 0.46399,
iter: 01499, precision: 0.49026, a_distance: 0.77778, rsl: 1.35185, classifier_loss: 0.27692,  discriminator_loss: 0.57423,
iter: 01999, precision: 0.49805, a_distance: 0.72222, rsl: 1.40176, classifier_loss: 0.31922,  discriminator_loss: 0.57387,
iter: 02499, precision: 0.50676, a_distance: 0.88889, rsl: 1.59347, classifier_loss: 0.05257,  discriminator_loss: 0.57537,
iter: 02999, precision: 0.51478, a_distance: 0.94444, rsl: 1.29274, classifier_loss: 0.01611,  discriminator_loss: 0.63075,
iter: 03499, precision: 0.50974, a_distance: 0.66667, rsl: 1.13542, classifier_loss: 0.01882,  discriminator_loss: 0.62466,
iter: 03999, precision: 0.53013, a_distance: 0.94444, rsl: 1.02102, classifier_loss: 0.08824,  discriminator_loss: 0.53722,
iter: 04499, precision: 0.52394, a_distance: 0.77778, rsl: 1.47907, classifier_loss: 0.23004,  discriminator_loss: 0.64141,
iter: 04999, precision: 0.52829, a_distance: 0.66667, rsl: 1.27097, classifier_loss: 0.34275,  discriminator_loss: 0.63418,
iter: 05499, precision: 0.52806, a_distance: 0.83333, rsl: 1.08162, classifier_loss: 0.16693,  discriminator_loss: 0.63950,
iter: 05999, precision: 0.52852, a_distance: 0.72222, rsl: 0.95513, classifier_loss: 0.04000,  discriminator_loss: 0.61272,
iter: 06499, precision: 0.52234, a_distance: 0.61111, rsl: 0.91830, classifier_loss: 0.13481,  discriminator_loss: 0.60395,
iter: 06999, precision: 0.53058, a_distance: 0.88889, rsl: 1.04283, classifier_loss: 0.27075,  discriminator_loss: 0.60639,
iter: 07499, precision: 0.53356, a_distance: 0.72222, rsl: 1.13986, classifier_loss: 0.05835,  discriminator_loss: 0.61420,
iter: 07999, precision: 0.53654, a_distance: 0.88889, rsl: 1.17895, classifier_loss: 0.11546,  discriminator_loss: 0.59932,
iter: 08499, precision: 0.53013, a_distance: 0.88889, rsl: 1.09479, classifier_loss: 0.03062,  discriminator_loss: 0.60828,
iter: 08999, precision: 0.53677, a_distance: 0.61111, rsl: 1.13339, classifier_loss: 0.21695,  discriminator_loss: 0.60178,
iter: 09499, precision: 0.53288, a_distance: 0.88889, rsl: 0.92113, classifier_loss: 0.08377,  discriminator_loss: 0.63150,
iter: 09999, precision: 0.53310, a_distance: 1.61111, rsl: 1.00755, classifier_loss: 0.02832,  discriminator_loss: 0.56601,
iter: 10499, precision: 0.53631, a_distance: 0.55556, rsl: 1.03215, classifier_loss: 0.15142,  discriminator_loss: 0.61567,
iter: 10999, precision: 0.53677, a_distance: 0.61111, rsl: 1.11913, classifier_loss: 0.00571,  discriminator_loss: 0.62506,
iter: 11499, precision: 0.53104, a_distance: 0.61111, rsl: 0.85408, classifier_loss: 0.21710,  discriminator_loss: 0.63572,
iter: 11999, precision: 0.53356, a_distance: 0.61111, rsl: 0.74377, classifier_loss: 0.07871,  discriminator_loss: 0.60816,
iter: 12499, precision: 0.52967, a_distance: 0.66667, rsl: 0.90087, classifier_loss: 0.09252,  discriminator_loss: 0.62034,
iter: 12999, precision: 0.53242, a_distance: 1.11111, rsl: 0.88781, classifier_loss: 0.23640,  discriminator_loss: 0.56676,
iter: 13499, precision: 0.53402, a_distance: 0.66667, rsl: 0.93554, classifier_loss: 0.29478,  discriminator_loss: 0.60217,
iter: 13999, precision: 0.53081, a_distance: 0.61111, rsl: 0.83014, classifier_loss: 0.04385,  discriminator_loss: 0.60387,
iter: 14499, precision: 0.52967, a_distance: 0.61111, rsl: 1.00281, classifier_loss: 0.03075,  discriminator_loss: 0.67428,
