{'tl': 'RSL', 'sn': True, 'k': 8, 'tllr': 0.0001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office-home_vs_office-home_with_True_8_0.0001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': 'data/office-home/Art.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office-home/Product.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office-home/Product.txt', 'batch_size': 4}}, 'num_loader': 8}iter: 00001, precision: 0.01352, a_distance: 0.22222, rsl: 1.38412, classifier_loss: 4.58771,  discriminator_loss: 0.69418,
iter: 00499, precision: 0.64992, a_distance: 0.94444, rsl: 2.37430, classifier_loss: 0.24897,  discriminator_loss: 0.56154,
iter: 00999, precision: 0.66547, a_distance: 1.05556, rsl: 2.24202, classifier_loss: 0.26952,  discriminator_loss: 0.56265,
iter: 01499, precision: 0.68349, a_distance: 0.72222, rsl: 3.02875, classifier_loss: 0.56272,  discriminator_loss: 0.59448,
iter: 01999, precision: 0.69408, a_distance: 1.16667, rsl: 2.40222, classifier_loss: 0.10842,  discriminator_loss: 0.46444,
iter: 02499, precision: 0.70466, a_distance: 0.77778, rsl: 2.46405, classifier_loss: 0.09000,  discriminator_loss: 0.57371,
iter: 02999, precision: 0.70173, a_distance: 0.88889, rsl: 1.95617, classifier_loss: 0.21539,  discriminator_loss: 0.58281,
iter: 03499, precision: 0.71075, a_distance: 0.66667, rsl: 2.25564, classifier_loss: 0.11400,  discriminator_loss: 0.58876,
iter: 03999, precision: 0.71886, a_distance: 0.72222, rsl: 2.13998, classifier_loss: 0.06653,  discriminator_loss: 0.61836,
iter: 04499, precision: 0.72539, a_distance: 1.11111, rsl: 2.47787, classifier_loss: 0.05148,  discriminator_loss: 0.55412,
iter: 04999, precision: 0.73125, a_distance: 0.77778, rsl: 1.90903, classifier_loss: 0.23721,  discriminator_loss: 0.60208,
iter: 05499, precision: 0.72787, a_distance: 0.77778, rsl: 2.12582, classifier_loss: 0.13679,  discriminator_loss: 0.63800,
iter: 05999, precision: 0.73034, a_distance: 0.88889, rsl: 2.00827, classifier_loss: 0.06298,  discriminator_loss: 0.65005,
iter: 06499, precision: 0.72561, a_distance: 0.83333, rsl: 1.84507, classifier_loss: 0.12755,  discriminator_loss: 0.61732,
iter: 06999, precision: 0.72877, a_distance: 0.77778, rsl: 1.77174, classifier_loss: 0.24271,  discriminator_loss: 0.66235,
iter: 07499, precision: 0.73125, a_distance: 0.77778, rsl: 1.64162, classifier_loss: 0.08010,  discriminator_loss: 0.63884,
iter: 07999, precision: 0.72899, a_distance: 0.88889, rsl: 2.05925, classifier_loss: 0.00503,  discriminator_loss: 0.61548,
iter: 08499, precision: 0.73372, a_distance: 0.72222, rsl: 1.85615, classifier_loss: 0.23405,  discriminator_loss: 0.60719,
iter: 08999, precision: 0.73327, a_distance: 0.83333, rsl: 1.72109, classifier_loss: 0.10803,  discriminator_loss: 0.60287,
iter: 09499, precision: 0.73350, a_distance: 0.83333, rsl: 1.88295, classifier_loss: 0.01427,  discriminator_loss: 0.62826,
iter: 09999, precision: 0.73778, a_distance: 1.16667, rsl: 1.71774, classifier_loss: 0.09607,  discriminator_loss: 0.62097,
iter: 10499, precision: 0.73598, a_distance: 0.61111, rsl: 1.72313, classifier_loss: 0.17853,  discriminator_loss: 0.67900,
iter: 10999, precision: 0.73327, a_distance: 0.94444, rsl: 1.46438, classifier_loss: 0.06024,  discriminator_loss: 0.62464,
iter: 11499, precision: 0.73530, a_distance: 1.11111, rsl: 1.53810, classifier_loss: 0.05806,  discriminator_loss: 0.55861,
iter: 11999, precision: 0.73102, a_distance: 0.88889, rsl: 1.62422, classifier_loss: 0.02683,  discriminator_loss: 0.62695,
iter: 12499, precision: 0.73102, a_distance: 0.94444, rsl: 1.81528, classifier_loss: 0.20160,  discriminator_loss: 0.63054,
iter: 12999, precision: 0.72944, a_distance: 1.16667, rsl: 1.24542, classifier_loss: 0.07220,  discriminator_loss: 0.63078,
iter: 13499, precision: 0.73237, a_distance: 0.66667, rsl: 1.55187, classifier_loss: 0.13035,  discriminator_loss: 0.62383,
iter: 13999, precision: 0.72944, a_distance: 0.55556, rsl: 1.92138, classifier_loss: 0.29749,  discriminator_loss: 0.68112,
iter: 14499, precision: 0.73237, a_distance: 1.33333, rsl: 1.59460, classifier_loss: 0.00842,  discriminator_loss: 0.56947,
iter: 14999, precision: 0.73372, a_distance: 0.72222, rsl: 1.34698, classifier_loss: 0.03220,  discriminator_loss: 0.60754,
iter: 15499, precision: 0.73395, a_distance: 1.05556, rsl: 1.51609, classifier_loss: 0.06993,  discriminator_loss: 0.56851,
