{'tl': 'RSL', 'sn': True, 'k': 9, 'tllr': 0.001, 'method': 'CDAN+E', 'gpu': '1', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office-home_vs_office-home_with_True_9_0.001_CDAN+E.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 65}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office-home', 'data': {'source': {'list_path': 'data/office-home/Art.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office-home/Real_World.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office-home/Real_World.txt', 'batch_size': 4}}, 'num_loader': 8}iter: 00001, precision: 0.01584, a_distance: 0.27778, rsl: 1.65187, classifier_loss: 4.70049,  discriminator_loss: 0.69335,
iter: 00499, precision: 0.72963, a_distance: 0.88889, rsl: 2.71924, classifier_loss: 0.18140,  discriminator_loss: 0.62162,
iter: 00999, precision: 0.74225, a_distance: 0.61111, rsl: 2.71716, classifier_loss: 0.44114,  discriminator_loss: 0.58183,
iter: 01499, precision: 0.74271, a_distance: 1.27778, rsl: 2.44600, classifier_loss: 0.16724,  discriminator_loss: 0.51537,
iter: 01999, precision: 0.75878, a_distance: 1.00000, rsl: 3.53295, classifier_loss: 0.12494,  discriminator_loss: 0.53633,
iter: 02499, precision: 0.75671, a_distance: 1.11111, rsl: 3.07384, classifier_loss: 0.06647,  discriminator_loss: 0.53696,
iter: 02999, precision: 0.75419, a_distance: 0.66667, rsl: 2.80275, classifier_loss: 0.25662,  discriminator_loss: 0.64712,
iter: 03499, precision: 0.76475, a_distance: 0.94444, rsl: 2.66800, classifier_loss: 0.06555,  discriminator_loss: 0.55038,
iter: 03999, precision: 0.76543, a_distance: 0.61111, rsl: 2.58974, classifier_loss: 0.27281,  discriminator_loss: 0.57605,
iter: 04499, precision: 0.75993, a_distance: 1.33333, rsl: 2.30792, classifier_loss: 0.03987,  discriminator_loss: 0.58808,
iter: 04999, precision: 0.76222, a_distance: 0.72222, rsl: 2.32448, classifier_loss: 0.09538,  discriminator_loss: 0.62170,
iter: 05499, precision: 0.76130, a_distance: 0.88889, rsl: 2.53190, classifier_loss: 0.44143,  discriminator_loss: 0.60866,
iter: 05999, precision: 0.76406, a_distance: 0.05556, rsl: 2.26618, classifier_loss: 0.14541,  discriminator_loss: 0.70588,
