{'tl': 'RSL', 'sn': True, 'k': 11, 'tllr': 0.001, 'method': 'DANN', 'gpu': '0', 'num_iterations': 75000, 'test_interval': 500, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log_RSL_on_office_vs_office_with_True_11_0.001_DANN.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': True, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 31}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0003, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': 'data/office/amazon.txt', 'batch_size': 36}, 'target': {'list_path': 'data/office/dslr.txt', 'batch_size': 36}, 'test': {'list_path': 'data/office/dslr.txt', 'batch_size': 4}}, 'num_loader': 12}iter: 00001, precision: 0.02610, a_distance: 0.27778, rsl: 1.57512, classifier_loss: 4.01181,  discriminator_loss: 0.70339,
iter: 00499, precision: 0.81526, a_distance: 1.00000, rsl: 1.81200, classifier_loss: 0.62787,  discriminator_loss: 0.66374,
iter: 00999, precision: 0.82932, a_distance: 0.94444, rsl: 2.21649, classifier_loss: 0.30180,  discriminator_loss: 0.63988,
iter: 01499, precision: 0.83534, a_distance: 1.00000, rsl: 1.97663, classifier_loss: 0.22321,  discriminator_loss: 0.63027,
iter: 01999, precision: 0.81526, a_distance: 0.66667, rsl: 1.87941, classifier_loss: 0.13151,  discriminator_loss: 0.64725,
iter: 02499, precision: 0.83133, a_distance: 0.22222, rsl: 2.19390, classifier_loss: 0.03175,  discriminator_loss: 0.67299,
iter: 02999, precision: 0.83735, a_distance: 0.11111, rsl: 1.65380, classifier_loss: 0.12870,  discriminator_loss: 0.65392,
iter: 03499, precision: 0.82129, a_distance: 0.38889, rsl: 1.90867, classifier_loss: 0.25524,  discriminator_loss: 0.69367,
iter: 03999, precision: 0.82329, a_distance: 0.33333, rsl: 1.90763, classifier_loss: 0.06786,  discriminator_loss: 0.65620,
iter: 04499, precision: 0.83936, a_distance: 0.50000, rsl: 1.99503, classifier_loss: 0.06855,  discriminator_loss: 0.67901,
iter: 04999, precision: 0.83735, a_distance: 0.38889, rsl: 1.89104, classifier_loss: 0.19722,  discriminator_loss: 0.66845,
iter: 05499, precision: 0.83735, a_distance: 0.38889, rsl: 2.02842, classifier_loss: 0.07901,  discriminator_loss: 0.65969,
iter: 05999, precision: 0.82731, a_distance: 0.33333, rsl: 1.46243, classifier_loss: 0.07821,  discriminator_loss: 0.66827,
iter: 06499, precision: 0.82329, a_distance: 0.66667, rsl: 1.81488, classifier_loss: 0.14361,  discriminator_loss: 0.64681,
iter: 06999, precision: 0.83333, a_distance: 0.55556, rsl: 1.41120, classifier_loss: 0.03510,  discriminator_loss: 0.66806,
iter: 07499, precision: 0.82731, a_distance: 0.61111, rsl: 1.62469, classifier_loss: 0.18175,  discriminator_loss: 0.66773,
iter: 07999, precision: 0.82329, a_distance: 0.11111, rsl: 1.48412, classifier_loss: 0.21423,  discriminator_loss: 0.66278,
iter: 08499, precision: 0.83133, a_distance: 0.55556, rsl: 1.73242, classifier_loss: 0.11214,  discriminator_loss: 0.67367,
iter: 08999, precision: 0.82329, a_distance: 0.50000, rsl: 1.69346, classifier_loss: 0.05143,  discriminator_loss: 0.64448,
iter: 09499, precision: 0.83735, a_distance: 0.33333, rsl: 1.81533, classifier_loss: 0.04699,  discriminator_loss: 0.68061,
iter: 09999, precision: 0.82129, a_distance: 0.44444, rsl: 1.79836, classifier_loss: 0.08744,  discriminator_loss: 0.64504,
iter: 10499, precision: 0.82731, a_distance: 0.33333, rsl: 1.65954, classifier_loss: 0.13239,  discriminator_loss: 0.66566,
iter: 10999, precision: 0.83133, a_distance: 0.16667, rsl: 1.60893, classifier_loss: 0.04205,  discriminator_loss: 0.65860,
